LGB,,,,,,
Item No.,Item Description,Available,In Transit,Inc B/O,Dealer Cost,MSRP
L10000,"Straight Track, 300mm"," 7,692 ",,,$6.19 ,$9.49 
L10001,Metal Rail Joiners (10 pcs.)," 1,832 ",,,$5.13 ,$7.99 
L10003,"Tie Sections, 300 mm"," 1,000 ", 500 ,,$2.45 ,$3.99 
L10005,"Rail Sections, 1.5 m", 360 , 80 ,,$10.27 ,$15.99 
L10007,Road Crossing Track, 19 , 42 ,,$13.29 ,$19.99 
L10020,Rerailer, 261 ,,,$19.91 ,$25.49 
L10040,"Straight Track, 41mm", 192 ,,,$5.13 ,$7.99 
L10050,"Straight Track, 52mm", 444 ,,,$5.13 ,$7.99 
L10070,"Straight Track, 75mm", 972 ,,,$5.13 ,$7.99 
L10080,"Straight Track, 82mm", 132 ,,,$5.13 ,$7.99 
L10090,"Adjustable Track, 88-120mm", 392 ,,,$28.64 ,$43.49 
L10150,"Straight Track, 150mm", 276 , 180 ,,$5.13 ,$7.99 
L10151,Reverse Loop Track Set 2 pcs. 150 mm, 49 ,,,$51.32 ,$77.99 
L10152,"Insulated Trk, Double, 150mm", 88 ,,,$22.68 ,$34.99 
L10153,"Insulated Trk, Single, 150mm", 70 ,,,$22.68 ,$34.99 
L10210,"Rack Rails, 300 mm, 12 pcs", 66 ,,,$21.95 ,$34.99 
L10220,"Rack Rail Holders, 24 pcs", 65 ,,,$21.95 ,$34.99 
L10250,Wheel Blocks (12 pcs.), 270 ,,,$7.29 ,$10.99 
L10260,"Insul Rail Joiners, 4 pcs", 564 ,,,$3.99 ,$5.99 
L10310,"Track Bumper, Lighted", 200 ,,,$17.61 ,$27.99 
L10316,"Track Bumper, RhB", 47 ,,,$13.95 ,$21.99 
L10320,Bent-Rail Track Bumper, 148 ,,,$16.14 ,$24.99 
L10345,Shuttle Train Automatic Circuit Box, 43 ,,,$125.08 ,$169.00 
L10520,Manual Uncoupler, 75 ,,,$8.03 ,$11.99 
L10560,"Electric Uncoupler, 150mm", 77 ,,,$51.38 ,$77.99 
L10600,"Straight Track, 600mm"," 1,952 ",,,$12.86 ,$18.49 
L10610,"Straight Track, 1200mm"," 1,602 "," 1,950 ",,$24.22 ,$36.99 
L10710,"Wire Holders, 5 pcs", 139 ,,,$10.95 ,$16.99 
L11000,"Curved Track, R1, 30°"," 2,892 ",,,$7.29 ,$9.99 
L11020,"Curved Track, R1, 15°", 276 , 120 ,,$5.49 ,$7.99 
L11040,"Curved Track, R1, 7.5°", 192 , 120 ,,$5.13 ,$7.99 
L11152,"Insulated Track, Double, R1", 72 ,,,$23.42 ,$36.99 
L11500,"Track Clips, 28 pcs", 744 ,,,$4.39 ,$6.99 
L12000,"Manual Switch, Right, R1", 204 ,,,$38.87 ,$54.99 
L12010,EPL Switch Drive, 59 , 100 ,,$26.40 ,$39.99 
L12040,Switch Lantern, 39 , 50 ,,$13.94 ,$21.99 
L12050,"Electric Switch, Right, R1", 189 ,,,$54.97 ,$82.99 
L12060,"Switch Drive, manual, 2 pcs.", 115 ,,,$14.61 ,$22.49 
L12070,"EPL Supplementary Switch, 2", 284 ,,,$24.16 ,$36.99 
L12100,"Manual Switch, Left, R1", 166 ,,,$38.87 ,$54.99 
L12140,Switch lantern RhB, 15 , 40 ,,$13.94 ,$21.99 
L12150,"Electric Switch, Left, R1", 68 , 70 ,,$54.97 ,$82.99 
L12260,Electric Double-Slip Switch, 47 ,,,$153.32 ,$239.00 
L12360,Electric Three-Way Switch, 12 , 40 , 40 ,$138.64 ,$209.00 
L13000,"Crossing, 30°", 53 ,,,$40.31 ,$59.99 
L13100,"Crossing, 90°", 47 ,,,$25.60 ,$37.99 
L13200,"Crossing, R3, 22.5°", 71 ,,,$49.10 ,$74.99 
L15000,"Curved Track, R2, 30°",," 1,108 ", 300 ,$13.16 ,$16.49 
L16000,"Curved Track, R3, 22.5°"," 2,388 "," 1,092 ",,$12.42 ,$17.99 
L16040,"Manual switch, Right, R3", 108 ,,,$62.38 ,$89.99 
L16050,"Electric Switch, Right, R3", 74 ,,,$87.26 ,$134.00 
