RepGroup,Manufacturer,PO #,Order Date,Request Date,Ship Date,Cancel Date,Order Total,Customer Name,Address 1,Address 2,City,State/Province,Zip,Ship Customer Name,Ship Address 1,Ship Address 2,Ship City,Ship State/Province,Ship Zip
Sunshine Sales,Schleich,KN8432174,2021-12-31,2021-12-31,2021-12-31,,4577.999999999999,Upland Trains,1531 W 13th Street,Suite G,UPLAND,CA,91786,Upland Trains,1531 W 13th Street,Suite G,UPLAND,CA,91786
Sequence #,Item Number,Name,Description,Quantity,Unit Price,Unit Qty,Item Discount,UPC,Unit of measure,Size,Color,Style,Notes,Retailer Item Number,List Price,Item Status
1,13770,"Cat, standing","Cat, standing",5,2.0,5,0.0,4059433025612,inch,,,,,,3.99,
2,13771,"Cat, sitting","Cat, sitting",5,2.0,5,0.0,4059433025629,inch,,,,,,3.99,
3,13783,"Piglet, standing","Piglet, standing",10,2.0,5,0.0,4059433025605,inch,,,,,,3.99,
4,13797,Holstein cow,Holstein cow,10,4.0,5,0.0,4059433328850,inch,,,,,,7.99,
5,13802,Simmental calf,Simmental calf,5,3.05,5,0.0,4059433331188,inch,,,,,,5.99,
6,13824,Drake,Drake,5,2.0,5,0.0,4059433025544,inch,,,,,,3.99,
7,13825,Rooster,Rooster,5,2.0,5,0.0,4059433322742,inch,,,,,,3.99,
8,13826,Hen,Hen,5,2.0,5,0.0,4059433335940,inch,,,,,,3.99,
9,13827,Rabbit,Rabbit,5,2.0,5,0.0,4059433025537,inch,,,,,,3.99,
10,13828,Goat,Goat,10,3.05,5,0.0,4055744035715,inch,,,,,,5.99,
11,13829,Goat kid,Goat kid,5,2.0,5,0.0,4055744035708,inch,,,,,,3.99,
12,13835,Labrador Retriever puppy,Labrador Retriever puppy,5,2.0,5,0.0,4055744012563,inch,,,,,,3.99,
13,13836,Cat,Cat,5,2.0,5,0.0,4055744012570,inch,,,,,,3.99,
14,13865,Texas Longhorn cow,Texas Longhorn cow,5,4.0,5,0.0,4055744019852,inch,,,,,,7.99,
15,13866,Texas Longhorn bull,Texas Longhorn bull,5,4.0,5,0.0,4055744018077,inch,,,,,,7.99,
16,13877,French bulldog,French bulldog,5,2.0,5,0.0,4055744020599,inch,,,,,,3.99,
17,13879,Black Angus bull,Black Angus bull,5,4.0,5,0.0,4055744029271,inch,,,,,,7.99,
18,13880,Black Angus calf ORDER DEC 15,Black Angus calf ORDER DEC 15,5,3.05,5,0.0,4055744029530,inch,,,,,,5.99,
19,13881,Texas Longhorn calf,Texas Longhorn calf,5,3.05,5,0.0,4055744029547,inch,,,,,,5.99,
20,13882,Sheep,Sheep,5,3.05,5,0.0,4059433025599,inch,,,,,,5.99,
21,13883,Lamb,Lamb,5,2.0,5,0.0,4059433025582,inch,,,,,,3.99,
22,13892,Miniature schnauzer,Miniature schnauzer,5,2.0,5,0.0,4055744029585,inch,,,,,,3.99,
